"Station","Survey_Type","Start_Date","Survey_Start_Time","End_Date","Survey_End_Time","Segment","Seg_dist_m","Parent_Trail_LongName","Start_Date_Start_Time","End_Date_End_Time","Effort_hrs"
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MURC-01",156,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MURC-02",122,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","PUEN-01",144,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MUPO-01",410,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MAPO-04",387,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MAPO-05",250,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","MAPO-06",359,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","CHIO-03",61,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-26,"8:01 PM",2025-06-26,"10:51 PM","NUMA-02",268,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2025-06-26 20:01:00,2025-06-26 22:51:00,2.83333333333333
"TBS","Night",2025-06-25,"8:00 PM",2025-06-25,"10:22 PM","HAPL-01",2220,"Harpia Plot-Harpia",2025-06-25 20:00:00,2025-06-25 22:22:00,2.36666666666667
"TBS","Night",2025-06-25,"8:00 PM",2025-06-25,"10:22 PM","HARP-01",483,"Harpia Plot-Harpia",2025-06-25 20:00:00,2025-06-25 22:22:00,2.36666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUMA-01",750,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-01",270,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-02",652,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-03",210,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-04",411,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-07",143,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-05",105,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-08",139,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-23,"8:12 PM",2025-06-23,"11:04 PM","PUPL-06",139,"Puma-Puma Plot",2025-06-23 20:12:00,2025-06-23 23:04:00,2.86666666666667
"TBS","Night",2025-06-21,"8:43 PM",2025-06-21,"11:53 PM","PARA-01",3522,"Parahuaco",2025-06-21 20:43:00,2025-06-21 23:53:00,3.16666666666667
"TBS","Night",2025-06-20,"8:23 PM",2025-06-20,"11:07 PM","GUAC-03",279,"Guacamayo-Puma-Harpia-Chorongo",2025-06-20 20:23:00,2025-06-20 23:07:00,2.73333333333333
"TBS","Night",2025-06-20,"8:23 PM",2025-06-20,"11:07 PM","PUMA-01",750,"Guacamayo-Puma-Harpia-Chorongo",2025-06-20 20:23:00,2025-06-20 23:07:00,2.73333333333333
"TBS","Night",2025-06-20,"8:23 PM",2025-06-20,"11:07 PM","PUMA-02",388,"Guacamayo-Puma-Harpia-Chorongo",2025-06-20 20:23:00,2025-06-20 23:07:00,2.73333333333333
"TBS","Night",2025-06-20,"8:23 PM",2025-06-20,"11:07 PM","HARP-05",740,"Guacamayo-Puma-Harpia-Chorongo",2025-06-20 20:23:00,2025-06-20 23:07:00,2.73333333333333
"TBS","Night",2025-06-20,"8:23 PM",2025-06-20,"11:07 PM","TCHO-01",481,"Guacamayo-Puma-Harpia-Chorongo",2025-06-20 20:23:00,2025-06-20 23:07:00,2.73333333333333
"YRS","Night",2025-06-18,"8:47 PM",2025-06-18,"10:56 PM","MIRA-04",760,"Mirador",2025-06-18 20:47:00,2025-06-18 22:56:00,2.15
"YRS","Night",2025-06-18,"8:47 PM",2025-06-18,"10:56 PM","MIRA-03",158,"Mirador",2025-06-18 20:47:00,2025-06-18 22:56:00,2.15
"YRS","Night",2025-06-18,"8:47 PM",2025-06-18,"10:56 PM","MIRA-02",592,"Mirador",2025-06-18 20:47:00,2025-06-18 22:56:00,2.15
"YRS","Night",2025-06-18,"8:47 PM",2025-06-18,"10:56 PM","MIRA-01",550,"Mirador",2025-06-18 20:47:00,2025-06-18 22:56:00,2.15
"YRS","Night",2025-06-17,"8:17 PM",2025-06-17,"11:35 PM","FPPE-03",88,"Forest Plot Perimeter",2025-06-17 20:17:00,2025-06-17 23:35:00,3.3
"YRS","Night",2025-06-17,"8:17 PM",2025-06-17,"11:35 PM","FPPE-04",662,"Forest Plot Perimeter",2025-06-17 20:17:00,2025-06-17 23:35:00,3.3
"YRS","Night",2025-06-17,"8:17 PM",2025-06-17,"11:35 PM","FPPE-05",291,"Forest Plot Perimeter",2025-06-17 20:17:00,2025-06-17 23:35:00,3.3
