Lizard Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Genus,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Notes
07/02/24,YRS,Forest Plot Perimeter,FPPE-03,"O,T",8:00 PM,11:11 PM,Lizard,LZ15,Anolidae,Anolis,scypheus,Yellow-tongued Anole,8:03 PM,S 00°40.8617' W 076°23.7724',Owen,79.5,83.4,1,U,Terrafirme,6,cloudy,no wind,rain on and off throughout survey
07/03/24,YRS,Ceiba-Peru,CEIB-01,"O,M",8:11 PM,11:07 PM,Lizard,LZ16,Hoplocercidae,Enyalioides,laticeps,Broad-headed Wood Lizard,8:21 PM,S 00°40.5867' W 076°23.7298',Mike,77.5,93,2,U,Varzea,12,cloudy,no wind,
07/06/24,YRS,Forest Plot Perimeter,FPPE-02,"O,A",8:29 PM,11:28 PM,Lizard,LZ17,Anolidae,Anolis,trachyderma,Common Forest Anole,9:54 PM,S 00°41.1415' W 076°24.2667',Owen,72.5,94.3,1.8,U,Varzea,12,clear,no wind,
07/06/24,YRS,Forest Plot Perimeter,FPPE-02,"O,A",8:29 PM,11:28 PM,Lizard,LZ18,Alopoglossidae,Alopoglossus,atriventris,Keel-bellied Shade Lizard,10:30 PM,S 00°41.1489' W 076°23.8978',Owen,72.2,95.9,0,G,Varzea,12,clear,no wind,
07/10/24,TBS,Guacamayo-Danta-Lago,DANT-01,"O,M",8:07 PM,10:58 PM,Lizard,LZ19,Anolidae,Anolis,scypheus,Yellow-tongued Anole,8:59 PM,S0° 38.130' W76° 09.221',Owen,76.4,93.1,0.2,U,Terrafirme,6,clear,no wind,
07/10/24,TBS,Guacamayo-Danta-Lago,DANT-01,"O,M",8:07 PM,10:58 PM,Lizard,LZ20,Anolidae,Anolis,transversalis,Banded Tree Anole,9:14 PM,S0° 38.189' W76° 09.252',Owen,76.2,94.4,4,U,Terrafirme,6,clear,no wind,
07/10/24,TBS,Guacamayo-Danta-Lago,LAGO-01,"O,M",8:07 PM,10:58 PM,Lizard,LZ21,Anolidae,Anolis,scypheus,Yellow-tongued Anole,10:31 PM,S0° 38.345' W76° 09.127',Mike,75.4,93.9,1.6,G,Terrafirme,6,clear,no wind,
07/11/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,GUAC-03,"O,T",8:08 PM,10:57 PM,Lizard,LZ22,Anolidae,Anolis,scypheus,Yellow-tongued Anole,8:16 PM,S0° 38.072' W76° 09.270',Owen,78,87.1,1.5,U,Varzea,6,partly cloudy,no wind,
07/11/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,PUMA-02,"O,T",8:08 PM,10:57 PM,Lizard,LZ23,Anolidae,Anolis,scypheus,Yellow-tongued Anole,9:26 PM,S0° 37.744' W76° 09.313',Owen,79.7,81.6,0.1,U,Terrafirme,6,partly cloudy,no wind,
07/11/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,TCHO-01,"O,T",8:08 PM,10:57 PM,Lizard,LZ24,Anolidae,Anolis,scypheus,Yellow-tongued Anole,10:34 PM,S0° 38.016' W76° 09.051',Owen,79.7,81.3,0.5,U,Terrafirme,6,partly cloudy,no wind,
