Date,Station,Survey_Type,Segment,Survey_Start_Time,Survey_End_Time,Gross_ID,Animal_ID,Family,Species,Common_Name,Habitat_Type
6/7/2025,TBS,Night,LAGO-01,7:59 PM,10:26 PM,Frog,FG286,Hylidae,Dendropsophus bifurcus,Upper Amazon Tree Frog,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Lizard,LZ57,Anolidae,Anolis scypheus,Yellow-tongued Anole,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG287,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Lizard,LZ58,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG288,Craugastoridae,Pristimantis spp.,Rain and Robber Frogs,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG289,Leptodactylidae,Engystomops petersi,Painted Forest Toadlet,Terrafirme
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG290,Leptodactylidae,Engystomops petersi,Painted Forest Toadlet,Terrafirme
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG291,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Lizard,LZ59,Anolidae,Anolis scypheus,Yellow-tongued Anole,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Lizard,LZ60,Alopoglossidae,Alopoglossus atriventris,Keel-bellied Shade Lizard,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG292,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG293,Bufonidae,Rhinella margaritifera,South American Common Toad,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Lizard,LZ61,Anolidae,Anolis scypheus,Yellow-tongued Anole,Varzea
6/8/2025,TBS,Afternoon,PARA-01,1:47 PM,4:03 PM,Frog,FG294,Aromobatidae,Allobates femoralis,Spotted-thighed Poison Frog,Varzea
6/9/2025,YRS,Night,YCHO-01,8:15 PM,11:03 PM,Lizard,LZ62,Tropiduridae,Plica plica,Collared Treerunner,Terrafirme
6/9/2025,YRS,Night,YCHO-01,8:15 PM,11:03 PM,Frog,FG295,Leptodactylidae,Edalorhina perezi,Perez's Snouted Frog,Varzea
6/9/2025,YRS,Night,YCHO-01,8:15 PM,11:03 PM,Lizard,LZ63,Phyllodactylidae,Thecadactylus solimoensis,Turniptail Gecko,Terrafirme
6/9/2025,YRS,Night,YCHO-01,8:15 PM,11:03 PM,Frog,FG296,Hylidae,Osteocephalus spp.,Broad-headed Treefrogs,Varzea
6/9/2025,YRS,Night,YCHO-01,8:15 PM,11:03 PM,Salamander,SL26,Plethodontidae,Bolitoglossa altamazonica,Amazon Climbing Salamander,Varzea
6/9/2025,YRS,Night,KINK-01,8:15 PM,11:03 PM,Frog,FG297,Leptodactylidae,Leptodactylus pentadactylus,Smoky Jungle Frog,Terrafirme
6/9/2025,YRS,Night,KINK-01,8:15 PM,11:03 PM,Frog,FG298,Craugastoridae,Pristimantis kichwarum,Jatun Sacha Rain Frog,Terrafirme
6/9/2025,YRS,Night,NAPO-04,8:15 PM,11:03 PM,Frog,FG299,Leptodactylidae,Adenomera andreae,Cocha Chirping Frog,Varzea
6/9/2025,YRS,Night,BARI-02,8:15 PM,11:03 PM,Frog,FG300,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/9/2025,YRS,Night,BARI-01,8:15 PM,11:03 PM,Frog,FG301,Leptodactylidae,Adenomera andreae,Cocha Chirping Frog,Varzea
6/9/2025,YRS,Night,TINA-01,8:15 PM,11:03 PM,Frog,FG302,Pipidae,Pipa pipa,Suriname Toad,Varzea
6/9/2025,YRS,Night,TINA-01,8:15 PM,11:03 PM,Frog,FG303,Hylidae,Boana lanciformis,Basin Tree Frog,Varzea
6/9/2025,YRS,Night,TINA-01,8:15 PM,11:03 PM,Frog,FG304,Hylidae,Boana lanciformis,Basin Tree Frog,Varzea
6/10/2025,YRS,Night,CEIB-01,8:07 PM,10:33 PM,Lizard,LZ64,Anolidae,Anolis fuscoauratus,Brown-eared Anole,Terrafirme
6/10/2025,YRS,Night,CEIB-01,8:07 PM,10:33 PM,Frog,FG305,Leptodactylidae,Lithodytes lineatus,Painted Antnest Frog,Terrafirme
6/10/2025,YRS,Night,CEIB-01,8:07 PM,10:33 PM,Frog,FG306,Bufonidae,Rhinella margaritifera,South American Common Toad,Terrafirme
6/10/2025,YRS,Night,CEIB-01,8:07 PM,10:33 PM,Frog,FG307,Hylidae,Boana appendiculata,Canelos Treefrog,Terrafirme
6/10/2025,YRS,Night,PERU-01,8:07 PM,10:33 PM,Frog,FG308,Hylidae,Boana spp.,Gladiator Treefrogs,Terrafirme
6/10/2025,YRS,Night,PERU-02,8:07 PM,10:33 PM,Frog,FG309,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
6/10/2025,YRS,Night,PERU-02,8:07 PM,10:33 PM,Frog,FG310,Hylidae,Osteocephalus yasuni,Yasuni Spiny-backed Treefrog,Terrafirme
